price,year,manufacturer,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
12498,2012,honda,good,4 cylinders,gas,104872,clean,automatic,4wd,mid-size,SUV,black,vt
5000,2008,toyota,good,6 cylinders,gas,173000,rebuilt,automatic,fwd,mid-size,mini-van,blue,nj
40690,2017,porsche,like new,6 cylinders,gas,56840,clean,automatic,4wd,full-size,SUV,white,in
4950,2006,chevrolet,excellent,6 cylinders,gas,148000,clean,automatic,fwd,full-size,sedan,blue,oh
9500,2014,ford,excellent,4 cylinders,gas,219581,clean,automatic,fwd,mid-size,van,white,tn
8990,2013,toyota,like new,4 cylinders,gas,140000,clean,automatic,fwd,full-size,sedan,silver,ca
49990,2015,ford,good,8 cylinders,diesel,152701,clean,automatic,4wd,full-size,truck,white,va
12943,2006,ford,excellent,8 cylinders,gas,125682,clean,automatic,4wd,full-size,pickup,white,nc
18900,2017,nissan,excellent,4 cylinders,gas,67888,clean,automatic,rwd,full-size,truck,white,ca
7995,2010,volkswagen,excellent,4 cylinders,gas,92846,clean,automatic,fwd,mid-size,SUV,black,or
17999,2014,dodge,excellent,6 cylinders,gas,58996,clean,automatic,rwd,full-size,sedan,black,ca
6575,2007,honda,good,6 cylinders,gas,165829,clean,automatic,fwd,full-size,van,blue,ky
52990,2014,ford,good,8 cylinders,diesel,15886,clean,automatic,4wd,full-size,truck,white,de
11901,2017,dodge,excellent,4 cylinders,gas,93743,clean,automatic,fwd,full-size,SUV,white,ok
6995,2012,mitsubishi,excellent,4 cylinders,gas,128105,clean,automatic,fwd,mid-size,sedan,black,ca
35995,2015,ford,like new,8 cylinders,gas,61485,clean,manual,rwd,compact,coupe,silver,or
5499,2009,chrysler,good,6 cylinders,gas,162061,clean,automatic,rwd,full-size,sedan,white,ca
18995,2015,ford,excellent,6 cylinders,gas,110105,clean,automatic,fwd,full-size,SUV,grey,id
4999,2012,fiat,like new,4 cylinders,gas,68000,clean,automatic,fwd,compact,hatchback,grey,ca
24900,2016,dodge,good,6 cylinders,gas,63378,clean,automatic,fwd,full-size,van,black,ia
25988,2015,subaru,good,4 cylinders,gas,78510,clean,other,4wd,compact,sedan,blue,or
8995,2010,toyota,excellent,4 cylinders,gas,101908,clean,automatic,fwd,compact,sedan,black,ca
10988,2006,chevrolet,good,8 cylinders,diesel,0,clean,automatic,rwd,full-size,truck,white,ms
9500,2014,ford,excellent,6 cylinders,gas,157308,clean,automatic,4wd,full-size,SUV,white,pa
